key,hhid,village,county,consent,enum,duration,dap,can,lime,submissiondate,starttime,endtime
uuid:47a6cfc6-8eb0-46f6-a270-93ea743424be,2316,102,Homabay,1,2,185,25,25,0,16feb2017 05:56:45,16feb2017 05:53:39,16feb2017 05:56:44
uuid:29018037-ac3a-4720-8385-1ed9358ab3ef,590,33,Migori,1,2,1162,50,45,0,06mar2017 12:04:12,06mar2017 02:24:59,06mar2017 02:44:21
uuid:fa852ce3-4f25-454a-850e-4cd4d53b6aa2,882,107,Migori,1,2,80,50,45,0,06mar2017 12:04:14,06mar2017 04:52:58,06mar2017 04:54:18
uuid:d9374afb-8433-4fb2-9871-51bef12cb25d,596,33,Migori,1,1,44,33,34,300,06mar2017 22:59:12,06mar2017 02:18:52,06mar2017 11:08:35
uuid:32a3f935-dd39-4196-be59-2d2959efd94f,876,107,Migori,1,1,38,7,9,0,06mar2017 22:59:15,06mar2017 04:27:25,06mar2017 04:28:02
uuid:3dc2da29-71a9-490c-a6f9-aa32fb54d0bc,883,107,Migori,1,1,12805,33,34,300,06mar2017 22:59:16,06mar2017 05:42:01,06mar2017 09:20:08
uuid:f38e3ae5-754c-4043-99a2-86cb14c3389b,594,33,Migori,1,4,75,46,45,0,06mar2017 22:59:41,06mar2017 02:41:20,06mar2017 02:42:35
uuid:76fbbf4a-5187-42c0-aa4c-4c10abb16053,880,107,Migori,1,4,140,17,15,0,06mar2017 22:59:43,06mar2017 04:41:48,06mar2017 04:44:08
uuid:a90b24b8-f161-4074-8abd-b5e496761c1e,874,107,Migori,1,4,98,50,46,0,06mar2017 22:59:48,06mar2017 06:02:39,06mar2017 06:04:17
uuid:49d65efc-704a-4be8-ae77-53a69eb9c2bf,875,107,Migori,1,3,64,42,27,260,06mar2017 22:59:55,06mar2017 03:52:05,06mar2017 03:53:09
uuid:6ac6e7cb-dcec-4d30-9f32-3199ff7bd510,597,33,Migori,1,3,149,41,28,250,06mar2017 22:59:55,06mar2017 03:53:17,06mar2017 03:55:47
uuid:5b3817e0-dea8-4e09-a213-9863b8efd5ed,878,107,Migori,1,3,161,42,46,100,06mar2017 22:59:58,06mar2017 05:05:26,06mar2017 05:08:07
uuid:47b7ab8b-8882-4bb2-a0d6-11363bc3f250,583,32,Migori,1,2,100,25,50,250,07mar2017 12:33:26,07mar2017 01:23:25,07mar2017 01:25:05
uuid:37c9186a-4440-45be-8680-746618c6f923,2333,32,Migori,1,2,94,25,50,250,08mar2017 11:36:39,07mar2017 03:37:02,07mar2017 03:38:37
uuid:74fef63d-954a-40e2-8e7f-a7fb265bb989,584,32,Migori,1,2,73,25,50,250,08mar2017 11:36:41,07mar2017 05:46:13,07mar2017 05:47:26
uuid:8368afa7-7ba2-4771-ad8b-fde6854e9b8c,565,32,Migori,1,2,156,50,25,0,08mar2017 11:36:43,07mar2017 07:14:54,07mar2017 07:17:30
uuid:61c5629a-230f-4eeb-9391-bb7269675088,574,32,Migori,1,2,60,25,75,0,08mar2017 11:36:44,08mar2017 01:10:07,08mar2017 01:11:08
uuid:a2ddbb18-0a16-43b9-818a-68bd8ee3e2d3,572,32,Migori,1,1,57,25,50,250,08mar2017 22:51:34,07mar2017 01:09:03,07mar2017 01:10:00
uuid:76817e9d-621d-4ef7-8632-fe239f4b389b,562,32,Migori,1,1,44,25,50,250,08mar2017 22:51:39,07mar2017 03:49:14,07mar2017 03:49:58
uuid:f201651b-5d93-44c7-9e45-7e7cead3a7d9,582,32,Migori,1,1,91,25,50,0,08mar2017 22:51:40,07mar2017 05:18:38,07mar2017 06:12:57
uuid:ae1b61e1-55fa-468c-9178-440e79aabd5a,560,32,Migori,1,1,98,25,25,250,08mar2017 22:51:42,07mar2017 06:59:54,07mar2017 07:01:32
uuid:53ee363d-b620-45a1-b601-9ca595f18e1f,571,32,Migori,1,1,137,50,25,0,08mar2017 22:51:44,08mar2017 01:02:16,08mar2017 01:04:33
uuid:87951fdf-6a80-4d5c-9c0b-89f001935436,585,32,Migori,1,4,121,50,50,250,08mar2017 22:52:53,07mar2017 00:57:26,07mar2017 00:59:28
uuid:f6a685fa-b0c1-46c2-8eab-3ef171d65f06,2305,32,Migori,1,4,68,25,25,500,08mar2017 22:52:55,07mar2017 02:54:07,07mar2017 02:55:15
uuid:14156060-ea60-4937-9132-0100805281f0,2301,32,Migori,1,4,94,30,50,0,08mar2017 22:52:57,07mar2017 03:58:08,07mar2017 03:59:42
uuid:5f41e2f2-03d5-4112-99b7-e82c5c18ada5,556,32,Migori,1,4,113,40,40,0,08mar2017 22:52:59,07mar2017 05:13:36,07mar2017 05:15:28
uuid:8ff828bb-d820-4cbe-82a9-3031e8329cfb,555,32,Migori,1,4,297,75,75,0,08mar2017 22:53:01,08mar2017 00:44:45,08mar2017 00:49:42
uuid:66ed9f4c-a64d-4fa1-b1a0-2f21ba68882f,570,32,Migori,1,3,154,42,57,0,08mar2017 22:55:16,07mar2017 00:39:26,08mar2017 22:53:19
