villageid,hhid,level_game,starttime_game,finishtime_game,dap_game,can_game,lime_game,rain_game,yield_game,acreage_game,scaled_game,finallevel_game
100,1841,0,107.7373,214.3562,25,25,250,2,1157.8,1.5,1,0
100,1841,1,214.75571,304.76511,25,0,0,3,2506,1.5,0,0
100,1841,2,305.133,356.50781,50,0,0,1,450,1.5,0,0
100,1841,3,356.8764,406.58829,50,0,0,3,2652,1.5,0,0
100,1841,4,406.95761,486.49161,25,25,0,3,2709,1.5,0,0
100,1841,5,486.85989,550.75378,25,50,0,2,1711,1.5,0,0
100,1841,6,551.12512,609.30627,25,25,250,2,1654,1.5,0,0
100,1841,7,609.69299,661.2218,25,25,750,3,2685,1.5,0,0
100,1841,8,661.6272,715.84473,25,25,1000,2,1652,1.5,0,0
100,1841,9,718.57001,811.65308,25,25,250,2,1654,1.5,0,1
100,1847,0,107.3145,238.8062,25,25,250,2,834,.75,1,0
100,1847,1,239.19901,286.89029,25,0,0,1,448,.75,0,0
100,1847,2,287.2533,350.20569,50,0,0,2,1668,.75,0,0
100,1847,3,350.5665,395.7352,75,0,0,1,473,.75,0,0
100,1847,4,396.09259,460.03949,25,25,0,2,1669,.75,0,0
100,1847,5,460.4025,514.00787,25,50,0,3,2933,.75,0,0
100,1847,6,514.3689,560.22559,25,25,250,3,2739,.75,0,0
100,1847,7,560.58752,617.10919,25,25,750,2,1667,.75,0,0
100,1847,8,619.50989,707.12097,25,25,250,2,1668,.75,0,1
100,1862,0,207.7327,311.5033,25,25,250,2,843.5,2,1,0
100,1862,1,311.9101,358.6098,25,0,0,1,449,2,0,0
100,1862,2,358.98911,398.4985,25,0,0,1,449,2,0,0
100,1862,3,398.8718,443.97241,50,0,0,1,469,2,0,0
100,1862,4,444.34451,494.04379,25,25,0,1,471,2,0,0
100,1862,5,494.42789,534.98462,25,25,0,1,471,2,0,0
100,1862,6,535.35822,589.48547,25,25,500,2,1686,2,0,0
100,1862,7,589.84369,629.81403,25,25,750,1,471,2,0,0
100,1862,8,633.79901,734.91162,25,25,250,2,1687,2,0,1
103,1897,0,140.548,344.02991,25,25,250,2,1674,8,1,0
103,1897,1,344.4285,425.88049,50,0,0,1,452,8,0,0
103,1897,2,426.24939,492.54959,75,0,0,2,1700,8,0,0
103,1897,3,492.92209,588.51312,50,0,0,3,2715,8,0,0
103,1897,4,588.88422,667.50177,25,25,0,2,1677,8,0,0
103,1897,5,667.87201,724.33258,50,50,0,2,1800,8,0,0
103,1897,6,724.7049,796.46613,50,50,250,3,3073,8,0,0
103,1897,7,796.83752,845.49011,50,50,750,1,526,8,0,0
103,1897,8,845.89868,900.15057,50,50,750,2,1786,8,0,0
103,1897,9,900.50519,972.99432,50,50,250,2,1797,8,0,0
