duration,comments,enum,county,village,hhid,plant_seq,plant_seq2,plant_fun,plant_learn,yield_compare,yield_compare2,yield_specify,risk1,risk2,risk3,risk4,risk5,risk6,risk7,risk8,risk9,p_size_unit,p_sizea,p_sizeh,p_sizem,p_sizep1,p_sizep2,p_size_acres,exp_5,exp_6,exp_c1,exp_c2,exp_c3,exp_c4,exp_c5,exp_7,exp_8,exp_d1,exp_d2,exp_d3,exp_d4,exp_d5,aspirations1,aspirations2,aspirations3,aspirations4,aspirations5,aspirations6,aspirations7,aspirations8,aspirations9,aspirations10,aspirations11,aspirations12,aspirations13,formdef_version,key,submissiondate,starttime,endtime
3014,,1,Homabay,102,2316,The game planting sequence is somewhat similar to how I plant,,Yes,Yes,Higher,3 6,,Somewhat UNwilling to take risks,Somewhat willing to take risks,Lottery,,Lottery,Lottery,Lottery,Lottery,Certainty,acres,1,,,,,1,5,40,5,2,3,7,3,5,35,6,2,3,4,5,Disagree somewhat,Agree somewhat strongly,Disagree strongly,Agree somewhat,Agree strongly,Agree somewhat,Disagree a little,Agree somewhat,Agree a little,Agree a little,Agree strongly,Agree somewhat,Disagree a little,1702161302,uuid:d4d9b511-5620-4c89-96d8-a0fb568113a6,16feb2017 05:01:48,16feb2017 04:11:31,16feb2017 05:01:45
1178,,4,Homabay,102,2316,The game planting sequence is somewhat similar to how I plant,,No,Yes,Higher,2 3 5,,Somewhat willing to take risks,Somewhat willing to take risks,Certainty,Lottery,,,,,,acres,1,,,,,1,1,30,1,4,10,5,0,5,35,3,0,2,10,5,Completely agree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Disagree somewhat strongly,Completely disagree,Agree strongly,Disagree somewhat strongly,Agree strongly,Agree somewhat strongly,Agree somewhat,Disagree somewhat strongly,1702161302,uuid:2a6e072c-fb94-4ff8-9dfc-e6fd3968000e,16feb2017 05:03:14,16feb2017 04:47:21,16feb2017 05:06:59
3542,,1,Homabay,102,2316,The game planting sequence is slightly different from how I plant,Digging holes,Yes,Yes,Lower,1 4,,Not at all willing to take risks,Somewhat UNwilling to take risks,Lottery,,Lottery,Lottery,Lottery,Lottery,Lottery,acres,1,,,,,1,2,25,4,2,5,6,3,2,28,0,2,5,6,7,Completely disagree,Completely agree,Completely disagree,Agree somewhat strongly,Agree a little,Agree a little,Agree somewhat,Disagree a little,Agree a little,Agree somewhat,Completely agree,Disagree somewhat,Completely disagree,1702161302,uuid:f0fb33b6-f997-4d89-8952-4384dacbc870,16feb2017 05:09:54,16feb2017 04:17:54,16feb2017 05:16:55
2946,,4,Homabay,102,2316,The game planting sequence is somewhat similar to how I plant,,Yes,Yes,Much higher,1,,Not at all willing to take risks,Somewhat UNwilling to take risks,Lottery,,Lottery,Lottery,Lottery,Lottery,Lottery,acres,1,,,,,1,1,6,2,5,5,3,5,0,2.5,5,5,5,5,0,Disagree a little,Completely agree,Completely disagree,Completely agree,Completely agree,Disagree strongly,Disagree strongly,Agree somewhat strongly,Completely disagree,Completely agree,Completely agree,Completely disagree,Disagree somewhat strongly,1702161302,uuid:db3aedf5-712b-43f5-89d0-74db1b617636,16feb2017 05:35:55,16feb2017 04:12:54,16feb2017 05:02:00
1432,,2,Migori,33,590,The game planting sequence is slightly different from how I plant,4 5 9 11 13,Yes,Yes,Much higher,3,,Very willing to take risks,Very willing to take risks,Lottery,,Certainty,,,,,acres,1,,,,,1,2,6,3,3,3,4,7,6,8,2,2,2,4,10,Completely agree,Disagree strongly,Agree somewhat,Completely agree,Completely agree,Completely agree,Agree strongly,Agree somewhat,Agree somewhat,Agree somewhat strongly,Completely disagree,Disagree a little,Completely disagree,1702161408,uuid:0acfcbd3-ebfd-4f24-bc15-8fffcffd4f3d,06mar2017 12:04:12,06mar2017 02:00:53,06mar2017 02:24:45
1165,,2,Migori,107,882,The game planting sequence is very different from how I plant,3 5 13,Yes,Yes,Higher,1 4 6,,Very willing to take risks,Very willing to take risks,Certainty,Certainty,,,,,,acres,1,,,,,1,3,20,4,2,3,8,3,,,,,,,,Agree somewhat strongly,Agree somewhat strongly,Agree somewhat strongly,Completely agree,Completely agree,Completely agree,Completely disagree,Disagree a little,Agree a little,Completely agree,Disagree strongly,Disagree strongly,Completely disagree,1702161408,uuid:0f8cddd9-ac84-4ce3-a1f7-eb5fbd155084,06mar2017 12:04:13,06mar2017 04:32:43,06mar2017 04:52:08
1502,media\Comments-078b7d90-b8a7-4521-b16a-4c3229390c4d.csv,1,Migori,33,596,The game planting sequence is somewhat similar to how I plant,,Yes,Yes,The same,,,Somewhat willing to take risks,Somewhat willing to take risks,Lottery,,Lottery,Lottery,Certainty,,,acres,1,,,,,1,6,15,2,2,5,7,4,6,21,2,2,4,8,4,Disagree a little,Agree somewhat strongly,Disagree a little,Neither agree nor disagree,Disagree strongly,Agree strongly,Completely disagree,Agree somewhat strongly,Agree somewhat,Agree somewhat strongly,Neither agree nor disagree,Completely disagree,Disagree somewhat strongly,1702161408,uuid:078b7d90-b8a7-4521-b16a-4c3229390c4d,06mar2017 22:59:12,06mar2017 01:57:13,06mar2017 10:53:53
1103,,1,Migori,107,876,The game planting sequence is very different from how I plant,4 6 11,Yes,Yes,Lower,1 6,,Somewhat willing to take risks,Somewhat willing to take risks,Lottery,,Lottery,Certainty,,,,acres,.85000002,,,,,.8500000238418579102,1,8,3,5,9,2,1,,,,,,,,Disagree strongly,Agree strongly,Completely disagree,Agree strongly,Completely disagree,Agree strongly,Completely disagree,Neither agree nor disagree,Completely disagree,Agree somewhat,Agree somewhat,Disagree strongly,Neither agree nor disagree,1702161408,uuid:b578ee21-476a-4674-863b-6c979b503fb4,06mar2017 22:59:14,06mar2017 04:12:50,06mar2017 11:06:25
1198,,1,Migori,107,883,The game planting sequence is very different from how I plant,4 6 9 11 13,Yes,Yes,The same,,,Very willing to take risks,Very willing to take risks,Lottery,,Certainty,,,,,acres,1,,,,,1,5,12,1,3,8,6,2,,,,,,,,Disagree a little,Agree strongly,Disagree somewhat strongly,Completely agree,Disagree somewhat strongly,Disagree somewhat strongly,Completely disagree,Agree a little,Agree somewhat strongly,Disagree somewhat,Agree somewhat strongly,Disagree strongly,Agree somewhat strongly,1702161408,uuid:a2421cff-8dbf-46fa-b3e4-426289afb780,06mar2017 22:59:16,06mar2017 05:23:29,06mar2017 11:08:08
648,,4,Migori,33,594,The game planting sequence is somewhat similar to how I plant,,Yes,Yes,Higher,1 2 6,,Somewhat UNwilling to take risks,Somewhat UNwilling to take risks,Lottery,,Certainty,,,,,acres,1.5,,,,,1.5,2.5,6,5,1,2,0,12,,,,,,,,Disagree strongly,Disagree a little,Completely disagree,Agree a little,Agree somewhat strongly,Agree a little,Disagree somewhat strongly,Agree a little,Agree somewhat strongly,Agree somewhat strongly,Agree somewhat strongly,Agree somewhat,Agree somewhat,1702161408,uuid:9c4025eb-3294-49a0-834e-238e8e9c7740,06mar2017 22:59:41,05mar2017 11:56:48,06mar2017 02:40:50
