key,hhid,village,county_code,consent,enum_code,duration,comments,p_size_unit,p_sizea,p_sizeh,p_sizem,p_sizep1,p_sizep2,p_size_acres,exp_3,exp_4,exp_b1,exp_b2,exp_b3,exp_b4,exp_b5,ffertl,fertypel1,fertypeol1,fertypel2,fertypeol2,fertypel3,fertypeol3,fertamtl1,fertunitl1b,fertamtl2,fertunitl2b,fertamtl3,fertunitl3,exp_5,exp_6,exp_c1,exp_c2,exp_c3,exp_c4,exp_c5,exp_probe,exp_7,exp_8,exp_d1,exp_d2,exp_d3,exp_d4,exp_d5,conf1,conf2,conf3,conf4,conf5,conf6,conf7,conf8,conf9,conf10,conf11,placement1,placement2,placement3,placement4,placement5,purchase_nr,purchase1_distance,trust1,trust2,purchase2_distance,trust3,trust4,purchase3_distance,trust5,trust6,purchase_nr2,purchase4_distance,trust7,trust8,purchase5_distance,trust9,trust10,purchase6_distance,trust11,trust12,aspirations1,aspirations2,aspirations3,aspirations4,aspirations5,aspirations6,aspirations7,aspirations8,aspirations9,aspirations10,aspirations11,aspirations12,aspirations13,dap_price,can_price,lime_price,order1,order2,order3,submissiondate,starttime,endtime,purchase1_landmark_code,purchase2_landmark_code,purchase3_landmark_code,purchase4_landmark_code,purchase5_landmark_code,purchase6_landmark_code,purchase1_other_code,purchase2_other_code,purchase3_other_code,purchase4_other_code,purchase5_other_code,purchase6_other_code,purchase1_location_code,purchase2_location_code,purchase3_location_code,purchase4_location_code,purchase5_location_code,purchase6_location_code,purchase1_name_code,purchase2_name_code,purchase3_name_code,purchase4_name_code,purchase5_name_code,purchase6_name_code
uuid:6db8baf6-a728-494c-9d6e-a4c4eed826a4,2316,102,1,Yes,1,3893,,acres,1,,,,,1,.5,24,3,6,4,5,2,Yes,DAP,,manure,,None,,1,kg,1,kg,,,0,30,0,1,6,6,7,,0,35,0,1,6,6,7,A little more than others,True,The same,Not-acidic,-9,-9,When plant is knee high,1-2 months before planting,Reduces acidity of soil,1 5,2 4,6,6,About same as others,Very often,A little less than others,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,80,60,5,20,25,0,16feb2017 03:50:16,16feb2017 02:52:24,16feb2017 03:57:17,,,,,,,,,,,,,,,,,,,,,,,,
uuid:8a0669a4-1357-4442-9277-f84bd8fbe234,443,26,1,Yes,4,5892,media\Comments-8a0669a4-1357-4442-9277-f84bd8fbe234.csv,acres,1,,,,,1,.5,24,2,6,4,5,3,Yes,DAP,,CAN (26:0:0),,None,,30,kg,40,kg,,,1,35,0,1,6,6,7,,1,35,0,1,6,6,7,A little more than others,Don't know,The same,Don't know,-9,-9,When plant is knee high,1-2 months before planting,Kills pests,3,1 2,5,2,Much higher than others,Sometimes,The same as others,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,80,60,5,50,0,30,16feb2017 04:01:15,16feb2017 02:26:07,16feb2017 04:05:02,,,,,,,,,,,,,,,,,,,,,,,,
uuid:8683924b-a2be-49d3-9bfe-b8369f524fd5,2316,102,2,Yes,1,5980,,acres,1,,,,,1,.5,24,2,6,4,5,3,Yes,DAP,,manure,,None,,30,kg,15,wheelbarrow,,,0,35,0,1,6,6,7,,0,35,0,1,6,6,7,A little more than others,Don't know,The same,Don't know,50,50,When plant is knee high,1-2 months before planting,Don't know,5,3,5,5,About same as others,Rarely,A little less than others,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,80,60,5,3,5,8,16feb2017 04:04:27,16feb2017 02:23:50,16feb2017 04:04:26,,,,,,,,,,,,,,,,,,,,,,,,
uuid:d7759eed-f16c-4187-b539-c0e684ab0fda,2316,102,1,Yes,4,6929,,acres,1,,,,,1,.5,24,2,6,4,5,3,Yes,DAP,,manure,,None,,30,kg,15,wheelbarrow,,,0,35,0,1,6,6,7,,0,35,0,1,6,6,7,A little more than others,Don't know,The same,Don't know,-99,-99,When plant is knee high,Don't know,Don't know,5,2 3,5,2,A little higher than others,Sometimes,A little less than others,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,80,60,5,30,30,0,16feb2017 04:09:57,16feb2017 02:14:07,16feb2017 04:09:36,,,,,,,,,,,,,,,,,,,,,,,,
uuid:0a6608ab-2b70-42dd-92a4-6ffbbf5babf9,590,33,2,Yes,2,2314,,acres,1,,,,,1,2,4,2,3,4,5,6,Yes,DAP,,CAN (26:0:0),,None,,4,kg,6,kg,,,3,6,0,3,4,6,7,Farmer has no idea,,,,,,,,A lot more than others,True,Lower,Extremely acidic,-99,-99,When plant is knee high,Don't know,Don't know,2,2,4,8,A little higher than others,Rarely,A little more than others,1,0.5,No,Completely trust their product,,,,,,,1,0.5,No,Completely trust their product,Na,No,Completely trust their product,Na,No,Completely trust their product,,,,,,,,,,,,,,60,44,5,3000,2000,0,06mar2017 12:04:11,06mar2017 01:19:54,06mar2017 11:58:18,27,,,27,3,3,,,,11,2,3,14,,,13,5,3,49,,,33,8,3
uuid:ce19210a-674b-4781-a7f4-ad6f672aee73,882,107,2,Yes,2,2230,,acres,1,,,,,1,3,7,4,3,3,6,4,Yes,DAP,,None,,,,37,kg,,,,,6,10,3,3,3,4,7,Farmer has no idea,,,,,,,,The same as others,True,Lower,Don't know,50,25,When plant is knee high,Don't know,Don't know,2,31,5,5,About same as others,Sometimes,A little more than others,1,6,Yes,Trust the product a lot,,,,,,,1,2,No,Completely trust their product,Na,No,Trust the product a lot,Na,No,Completely trust their product,,,,,,,,,,,,,,60,44,5,3000,2000,0,06mar2017 12:04:13,06mar2017 03:46:06,06mar2017 12:02:20,84,,,12,3,3,54,,,13,2,3,18,,,17,5,3,50,,,58,8,3
uuid:936c865e-6d9a-4c8c-af42-bf41c287302d,596,33,2,Yes,1,2789,media\Comments-936c865e-6d9a-4c8c-af42-bf41c287302d.csv,acres,1,,,,,1,2,10,3,4,3,8,2,Yes,DAP,,UREA (46:0:0),,None,,1,50 kg bags,1,50 kg bags,,,5,15,2,5,8,3,2,Proceed,5,15,2,3,8,4,3,The same as others,True,Lower,Not-acidic,50,50,When plant is knee high,When plant is shoulder high,Kills pests,2 3,2,10,10,About same as others,Rarely,The same as others,1,.3,Yes,Trust the product a lot,,,,,,,1,5,No,Completely trust their product,N/A,No,Completely trust their product,N/A,Yes,Completely trust their product,,,,,,,,,,,,,,60,44,5,2000,1500,1500,06mar2017 22:59:11,06mar2017 01:03:41,06mar2017 10:50:13,63,,,2,2,1,40,,,1,1,1,15,,,44,4,1,73,,,1,7,1
uuid:cc6df6e2-6a5a-496e-a5ed-06d36fac5761,876,107,2,Yes,1,2056,media\Comments-cc6df6e2-6a5a-496e-a5ed-06d36fac5761.csv,acres,.85000002,,,,,.8500000238418579102,1,3,1,2,3,3,11,No,,,,,,,,,,,,,,,,,,,,Farmer has no idea,,,,,,,,A little less than others,Don't know,Lower,Not-acidic,-99,-99,When plant is knee high,Don't know,Don't know,31,2,3,5,About same as others,Sometimes,The same as others,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,60,44,5,400,400,0,06mar2017 22:59:14,06mar2017 03:16:57,06mar2017 11:02:07,,,,,,,,,,,,,,,,,,,,,,,,
uuid:7a2ce5fd-1bbb-4048-8139-671772bed7d4,883,107,2,Yes,1,1986,,acres,1,,,,,1,0,3,1,1,2,13,3,Yes,DAP,,CAN (26:0:0),,None,,25,kg,5,gorogoro,,,2,8,3,3,3,4,7,Farmer has no idea,,,,,,,,The same as others,False,Lower,Don't know,50,50,When plant is knee high,Don't know,Don't know,2,31,5,5,A little higher than others,Rarely,The same as others,1,3,No,Trust the product a lot,,,,,,,1,3,No,Completely trust their product,N/A,Yes,Completely trust their product,N/A,Yes,Completely trust their product,,,,,,,,,,,,,,60,44,5,2000,1500,1500,06mar2017 22:59:15,06mar2017 04:45:04,06mar2017 11:00:44,63,,,61,2,1,58,,,33,1,1,32,,,29,4,1,1,,,1,7,1
uuid:aea96894-ef69-454c-8dca-f18b847fe724,594,33,2,Yes,4,1995,,acres,1.5,,,,,1.5,2.5,6,2,4,7,2,5,Yes,DAP,,CAN (26:0:0),,None,,50,kg,50,kg,,,2.5,6,2,2,1,5,10,Farmer has no idea,,,,,,,,A little more than others,False,Lower,Not-acidic,50,50,When plant is knee high,Don't know,Don't know,1 2,1,5,5,Much higher than others,Very often,A little more than others,1,4 kilometer,No,Trust the product a lot,,,,,,,1,4 km,No,Trust the product a lot,N/A,No,Do not trust product at all,N/A,No,Do not trust product at all,,,,,,,,,,,,,,60,44,5,2800,2000,0,06mar2017 22:59:38,06mar2017 01:39:59,06mar2017 11:20:46,77,,,76,2,1,53,,,40,1,1,48,,,42,4,1,84,,,67,7,1
uuid:9a553057-114e-4a00-be9e-1a5f831a64fa,880,107,2,Yes,4,1802,,acres,.40000001,,,,,.4000000059604644775,0,5,0,5,2,3,10,Yes,DAP,,CAN (26:0:0),,None,,10,kg,50,kg,,,0,7,3,3,4,8,2,Farmer has no idea,,,,,,,,A lot more than others,True,The same,Not-acidic,-99,-99,When plant is knee high,Don't know,Don't know,31,31,8,5,About same as others,Sometimes,The same as others,1,5 km,Yes,Trust somewhat,,,,,,,1,4 km,No,Trust somewhat,5 km,No,Have some doubts about product,N/A,No,Do not trust product at all,,,,,,,,,,,,,,60,44,5,1000,650,0,06mar2017 22:59:42,06mar2017 03:34:24,06mar2017 11:26:24,15,,,24,4,1,39,,,10,5,1,50,,,44,9,1,78,,,59,4,1
uuid:25320dea-5921-453c-9049-54633f26a5cd,874,107,2,Yes,4,1492,,acres,.69999999,,,,,.6999999880790710449,4,7,1,1,1,0,17,Yes,DAP,,CAN (26:0:0),,None,,90,kg,75,kg,,,12,17,4,2,2,0,12,Farmer has no idea,,,,,,,,A lot more than others,True,Lower,Not-acidic,50,50,When plant is knee high,1-2 months before planting,Reduces acidity of soil,1 2 3,1 2,9,5,A little higher than others,Sometimes,A little more than others,2,8 km,No,Trust the product a lot,8 km,No,Completely trust their product,,,,1,8 km,No,Completely trust their product,N/A,No,Trust somewhat,N/A,No,Do not trust product at all,,,,,,,,,,,,,,60,44,5,3000,2000,0,06mar2017 22:59:44,06mar2017 05:15:07,06mar2017 11:23:27,80,9,,46,2,1,23,4,,36,1,1,50,14,,42,4,1,20,15,,12,7,1
uuid:238c1449-d974-498f-aa6b-ee980c08d8ef,597,33,2,Yes,3,2371,,acres,1.3,,,,,1.29999995231628418,1.5,3,3,3,4,5,5,Yes,DAP,,UREA (46:0:0),,manure,,35,kg,20,kg,40,wheelbarrow,4,9,2,3,4,4,7,Farmer has no idea,,,,,,,,The same as others,True,Lower,Not-acidic,50,50,When plant is knee high,Don't know,Makes soil drain better,2 3,2 4 31,7,5,Much higher than others,Never,A lot less than others,1,8 km,No,Trust the product a lot,,,,,,,1,8 km,No,Trust the product a lot,xxxxxxx xxxxxx,No,Completely trust their product,N/A Xxxxxx xxxxxx xxxxxxx,No,Trust the product a lot,,,,,,,,,,,,,,60,44,5,2500,1250,1250,06mar2017 22:59:49,06mar2017 00:44:07,06mar2017 09:10:27,42,,,44,8,2,28,,,24,7,2,1,,,2,10,2,68,,,48,9,2
