hhid,ph,ecsalts,phosphorus,p,potassium,calcium,magnesium,manganese,sulphur,s,copper,boron,zinc,sodium,iron,cec
1325,6.17,69,5.36,5.36,316,2350,465,363,5.64,5.64,5.71,.43,6.22,37.6,123,20.2
876,5.8,21,3.91,3.91,281,1150,217,232,7.8,7.8,2.56,.25,6.01,32.2,123,11.5
2326,6.51,116,43.5,43.5,794,5800,1090,172,10.5,10.5,9.15,.43,1.75,233,199,46.9
960,6.13,38,5.23,5.23,305,1970,500,222,4.38,4.38,2.06,.39,3.99,91.3,169,18.6
878,5.11,36,1.03,1.03,170,715,158,250,8.789999999999999,8.789999999999999,2.91,.2,4.37,26.9,117,10.7
1628,5.68,132,15.4,15.4,310,3930,1380,113,5.82,5.82,6.3,.23,2.35,80.3,247,46.6
1339,6.98,74,97.7,97.7,1120,4840,1520,107,5.14,5.14,11,.42,1.72,46.3,156,41.9
446,6.62,125,5.27,5.27,407,3500,592,177,7.32,7.32,2.47,.44,1.57,72.3,143,26.6
1345,7.14,143,183,183,1410,6070,1230,222,6.7,6.7,5.88,.78,9.34,106,130,46.7
939,6.41,22,9.41,9.41,134,1020,106,157,5.76,5.76,.99,.21,2.23,41.1,127,7.55
1635,7.01,94,252,252,1200,3630,826,299,4.67,4.67,2.82,.79,10.3,61.3,141,29.7
1320,5.68,64,4.46,4.46,288,2620,610,179,5.27,5.27,3.45,.23,2.83,57.1,265,27.6
1897,7.39,110,52.9,52.9,1470,7450,1360,236,0.50,.5,16.1,.18,1.69,66.2,118,54.8
1522,6.21,45,11.4,11.4,245,1140,158,246,4.56,4.56,1.19,.25,2.89,26.2,109,9.35
1858,6.86,23,18.1,18.1,637,8280,1640,296,9.300000000000001,9.300000000000001,10.8,.7,2.29,250,69.5,61.9
880,5.79,28,3.58,3.58,320,1260,230,435,7.51,7.51,7.12,.23,11.3,42.8,155,12.7
445,7.58,137,9.470000000000001,9.470000000000001,576,4460,683,256,7.65,7.65,2.61,.65,1.66,113,106,31.1
1493,5.74,88,32.4,32.4,441,3110,622,124,5.75,5.75,2.6,.1,4.75,72.90000000000001,284,31.1
1512,6.12,77,34.6,34.6,478,3630,753,136,4.6,4.6,4.14,.26,7.17,59.6,231,31.8
428,5.39,53,.25,.25,294,1300,241,208,8.449999999999999,8.449999999999999,2.25,.33,3.75,14.4,115,15.5
459,6.36,77,3.12,3.12,504,2310,688,183,9.68,9.68,2.93,.48,2.56,34.2,104,21.9
1841,7.55,80,4.92,4.92,165,945,229,296,7.08,7.08,1.63,.19,2.08,63.1,121,7.62
965,6.29,51,12.1,12.1,344,1690,315,274,4.76,4.76,1.79,.48,4.13,18.8,141,14.3
1095,6.76,195,72.8,72.8,1250,5760,1420,275,8.23,8.23,9.19,.5,2.43,94.2,148,48.2
1631,6.23,59,10.8,10.8,437,3870,964,144,2.36,2.36,4.71,.18,1.66,71.40000000000001,187,34.6
2324,6.96,89,178,178,1440,5330,1260,189,4.16,4.16,11.2,.5600000000000001,3.71,46.6,168,43.2
1609,7,155,288,288,1450,5700,1370,207,7.27,7.27,14.4,.95,6.49,112,163,46.2
959,6.16,11,2.3,2.3,267,1450,367,154,4.32,4.32,2.22,.18,2.47,86.8,278,13.8
1626,6.19,231,72.90000000000001,72.90000000000001,926,3470,956,202,8.43,8.43,5.28,.43,5.7,51.2,193,33.8
1948,5.85,40,7.52,7.52,337,1860,339,258,8.09,8.09,2.48,.4,5.93,46.2,155,17.6
582,6.31,56,79.2,79.2,322,2190,304,498,7.15,7.15,5.51,.36,24,47.8,235,17.2
1086,7.19,117,98.09999999999999,98.09999999999999,1120,6440,1310,284,5.33,5.33,5.64,.74,5.99,90.5,107,48.4
961,6.68,64,3.24,3.24,405,1790,519,299,4.75,4.75,1.78,.38,2.6,39,172,16
1337,7.01,95,150,150,1260,5520,1260,179,7.9,7.9,12.9,.47,2.56,52.8,167,43.5
1092,7.37,111,55.4,55.4,1270,6060,1370,339,5.99,5.99,12.2,.65,2.21,56.6,81.5,47.1
584,7.2,75,86.2,86.2,657,2130,374,290,5.96,5.96,4.29,.63,21.5,53,186,16.4
1942,5.05,73,4.32,4.32,193,1210,223,250,11.7,11.7,1.42,.22,1.82,28.2,186,17.3
429,5.97,21,1.3,1.3,298,1740,262,281,6.78,6.78,3.08,.37,5.77,19.6,120,14.9
958,6.46,41,15.2,15.2,327,1320,237,273,6.01,6.01,1.54,.36,4.02,18.6,119,10.9
435,6.39,54,24,24,787,2280,411,286,8.52,8.52,2.8,.54,17.7,63.3,108,19.9
571,5.91,42,4.25,4.25,195,1340,282,361,6.97,6.97,4.66,.14,6.94,25.4,193,12.6
595,5.82,16,6.75,6.75,173,1370,229,271,6.89,6.89,4.3,.29,5.65,24.8,153,12.6
1641,6.8,97,227,227,1190,3320,897,240,3.77,3.77,2.71,.54,5.08,68.8,168,29.7
1531,6.99,39,12.5,12.5,270,1540,157,213,7.71,7.71,2.73,.4,10.8,35,130,10.3
1329,5.95,109,31.5,31.5,792,4700,1120,175,8.859999999999999,8.859999999999999,2.73,.28,4.35,48.7,221,45
942,6.16,26,8.279999999999999,8.279999999999999,214,572,91.3,194,7.03,7.03,1.1,.15,2.48,27.5,119,5.22
1954,5.43,62,1.97,1.97,316,1280,232,254,9.890000000000001,9.890000000000001,2.35,.28,3.86,39,121,15.2
1500,6.05,69,15.9,15.9,516,3690,905,122,6.89,6.89,3.84,.1,5.12,61.2,231,34.3
1400,6.23,26,4.46,4.46,312,1700,220,185,8.81,8.81,1.51,.53,2.83,20.3,120,13.5
557,6.03,29,9.199999999999999,9.199999999999999,212,1010,140,340,7.27,7.27,1.24,.25,5.7,24.1,159,8.57
951,6.34,32,10.1,10.1,354,1570,248,249,8.67,8.67,2.09,.4,2.13,34.9,185,12.9
1534,5.71,70,14.4,14.4,171,947,235,285,4.05,4.05,1.56,.19,2.39,53.5,121,10.5
442,6.14,22,5.11,5.11,461,1870,318,284,7.31,7.31,2.55,.36,6.16,35.4,124,16.3
1633,6.04,118,13.5,13.5,400,4080,1090,97.40000000000001,6.04,6.04,5.11,.19,1.58,92.5,246,38.5
1351,6.56,33,19.4,19.4,390,1570,197,286,6.88,6.88,1.53,.42,5.14,36.3,131,12
